name,gender,nationality,nationalityID,birth
Sonja Steffen,female,Germany,Q183,1963
Jónína Bjartmarz,female,Iceland,Q189,1952
Julia Boseman,female,United States,Q30,1966
Judy Clarke,female,United States,Q30,1952
Mónica Madariaga Gutiérrez,female,Chile,Q298,1942
Silvia Fernández de Gurmendi,female,Argentina,Q414,1954
Julia Sebutinde,female,Uganda,Q1036,1954
Agnès Tricoire,female,France,Q142,1965
Güler Turan,female,Belgium,Q31,1975
Judith Wolter,female,Germany,Q183,1978
Nancy Tellem,female,United States,Q30,1953
Nancy Makokha Baraza,female,Kenya,Q114,1957
Bert Haars,female,Kingdom of the Netherlands,Q29999,1913
Juanita Kidd Stout,female,United States,Q30,1919
Agnes Devanadera,female,Philippines,Q928,1950
Rachel Adato,female,Israel,Q801,1947
Joyce Bamford-Addo,female,Ghana,Q117,1937
Monique Pelletier,female,France,Q142,1926
Daphné Dumery,female,Belgium,Q31,1974
Razan Zaitouneh,female,Syria,Q858,1977
Ana Urkijo,female,Spain,Q29,1953
Catherine Lalumière,female,France,Q142,1935
Marie-France Garaud,female,France,Q142,1934
Rachel Dawes,female,United States,Q30,1970
Esther Salmovitz,female,Israel,Q801,1948
Joke Schauvliege,female,Belgium,Q31,1970
Zuhal Demir,female,Belgium,Q31,1980
Els Swaab,female,Kingdom of the Netherlands,Q29999,1946
Suzanne Lilar,female,Belgium,Q31,1901
Savannah Guthrie,female,Australia,Q408,1971
Paz Fernández Felgueroso,female,Spain,Q29,1937
Cuca Gamarra,female,Spain,Q29,1974
Ingrid Lieten,female,Belgium,Q31,1964
Victoria Kent,female,Spain,Q29,1898
María Antonia Trujillo,female,Spain,Q29,1960
Elsbeth Boor,female,Kingdom of the Netherlands,Q29999,1952
Mia Tyler,female,United States,Q30,1978
Mary Anne Krupsak,female,United States,Q30,1932
Sabrina Neuendorf,female,Germany,Q183,1984
Marjorie Reiley Maguire,female,United States,Q30,2000
Marja Lehto,female,Finland,Q33,1959
Sonja Boekman,female,Kingdom of the Netherlands,Q29999,1921
Margaret Alva,female,British Raj,Q129286,1942
Marie Saine-Firdaus,female,The Gambia,Q1005,1973
Anita Augspurg,female,Germany,Q183,1857
Erna Scheffler,female,Germany,Q183,1893
Ségolène Royal,female,France,Q142,1953
Marie Munk,female,Germany,Q183,1885
Karin Graßhof,female,Germany,Q183,1937
Britta Böhler,female,Germany,Q183,1960
Marianne Beth,female,United States,Q30,1890
Inga Markovits,female,United States,Q30,1937
Ingrid Schmidt,female,Germany,Q183,1955
Monika Harms,female,Germany,Q183,1946
